PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Kelan Martin,MIN,24,6-5,230,Butler,USA,Undrafted,Undrafted,Undrafted
Keldon Johnson,SAS,20,6-5,220,Kentucky,USA,2019,1,29
Kelly Olynyk,MIA,29,6-11,240,Gonzaga,Canada,2013,1,13
Kelly Oubre Jr.,PHX,24,6-7,203,Kansas,USA,2015,1,15
Kemba Walker,BOS,30,6-0,184,Connecticut,USA,2011,1,9
Kendrick Nunn,MIA,24,6-2,190,Oakland,USA,Undrafted,Undrafted,Undrafted
Kenrich Williams,NOP,25,6-6,210,TCU,USA,Undrafted,Undrafted,Undrafted
Kent Bazemore,SAC,30,6-4,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted
Kentavious Caldwell-Pope,LAL,27,6-5,204,Georgia,USA,2013,1,8
Kevin Hervey,OKC,23,6-9,230,Texas-Arlington,USA,2018,2,57
Kevin Huerter,ATL,21,6-7,190,Maryland,USA,2018,1,19
Kevin Knox II,NYK,20,6-7,215,Kentucky,USA,2018,1,9
Kevin Love,CLE,31,6-8,251,UCLA,USA,2008,1,5
Kevin Porter Jr.,CLE,20,6-4,203,Southern California,USA,2019,1,30
Kevon Looney,GSW,24,6-9,222,UCLA,USA,2015,1,30
Khem Birch,ORL,27,6-9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted
Khris Middleton,MIL,28,6-7,222,Texas A&M,USA,2012,2,39
Khyri Thomas,DET,24,6-3,210,Creighton,USA,2018,2,38
Kostas Antetokounmpo,LAL,22,6-10,200,Dayton,Greece,2018,2,60
Kris Dunn,CHI,26,6-3,205,Providence,USA,2016,1,5
Kristaps Porzingis,DAL,24,7-3,240,None,Latvia,2015,1,4
Ky Bowman,GSW,23,6-1,187,Boston College,USA,Undrafted,Undrafted,Undrafted
Kyle Alexander,MIA,23,6-10,216,Tennessee,Canada,Undrafted,Undrafted,Undrafted
Kyle Anderson,MEM,26,6-9,230,UCLA,USA,2014,1,30
Kyle Guy,SAC,22,6-1,167,Virginia,USA,2019,2,55
Kyle Korver,MIL,39,6-7,212,Creighton,USA,2003,2,51
Kyle Kuzma,LAL,24,6-8,221,Utah,USA,2017,1,27
Kyle Lowry,TOR,34,6-0,196,Villanova,USA,2006,1,24
Kyle O'Quinn,PHI,30,6-9,250,Norfolk State,USA,2012,2,49
Kyrie Irving,BKN,28,6-2,195,Duke,Australia,2011,1,1
LaMarcus Aldridge,SAS,34,6-11,250,Texas-Austin,USA,2006,1,2
Lance Thomas,BKN,32,6-8,225,Duke,USA,Undrafted,Undrafted,Undrafted
Landry Shamet,LAC,23,6-4,190,Wichita State,USA,2018,1,26
Langston Galloway,DET,28,6-1,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted
Larry Nance Jr.,CLE,27,6-7,245,Wyoming,USA,2015,1,27
Lauri Markkanen,CHI,23,7-0,240,Arizona,Finland,2017,1,7
LeBron James,LAL,35,6-9,250,None,USA,2003,1,1
Lonnie Walker IV,SAS,21,6-5,204,Miami,USA,2018,1,18
Lonzo Ball,NOP,22,6-6,190,UCLA,USA,2017,1,2
Lou Williams,LAC,33,6-1,175,None,USA,2005,2,45
Louis King,DET,21,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted
Luc Mbah a Moute,HOU,33,6-8,230,UCLA,Cameroon,2008,2,37
Luguentz Dort,OKC,21,6-3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted
Luka Doncic,DAL,21,6-7,230,None,Slovenia,2018,1,3
Luka Samanic,SAS,20,6-10,227,None,Croatia,2019,1,19
Luke Kennard,DET,24,6-5,206,Duke,USA,2017,1,12
Luke Kornet,CHI,24,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted
Malcolm Brogdon,IND,27,6-5,229,Virginia,USA,2016,2,36
Malcolm Miller,TOR,27,6-7,210,Holy Cross,USA,Undrafted,Undrafted,Undrafted
Malik Beasley,MIN,23,6-4,187,Florida State,USA,2016,1,19
Malik Monk,CHA,22,6-3,200,Kentucky,USA,2017,1,11
Malik Newman,CLE,23,6-3,190,Kansas,USA,2018,,
Marc Gasol,TOR,35,6-11,255,None,Spain,2007,2,48
Marco Belinelli,SAS,34,6-5,220,None,Italy,2007,1,18
Marcus Morris Sr.,LAC,30,6-8,218,Kansas,USA,2011,1,14
Marcus Smart,BOS,26,6-3,220,Oklahoma State,USA,2014,1,6
Marial Shayok,PHI,24,6-5,198,Iowa State,Canada,2019,2,54
Mario Hezonja,POR,25,6-8,220,None,Croatia,2015,1,5
Markelle Fultz,ORL,22,6-3,209,Washington,USA,2017,1,1
Markieff Morris,LAL,30,6-8,245,Kansas,USA,2011,1,13
Marko Guduric,MEM,25,6-6,201,None,Serbia,Undrafted,Undrafted,Undrafted
