PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,REB,AST,TOV,STL,BLK,+/-
Shaq Buchanan,MEM,25,2,2,0,4.9,1.0,1.0,1.0,1.0,0.5,0.0,-1.0
Shaquille Harrison,BKN,28,2,1,1,11.3,2.0,2.0,1.5,1.0,0.5,0.5,-2.0
Sharife Cooper,ATL,20,13,8,5,3.0,0.5,0.4,0.4,0.4,0.0,0.0,-2.7
Skylar Mays,ATL,24,28,17,11,7.9,2.9,0.9,0.6,0.4,0.3,0.0,-1.9
Solomon Hill,ATL,31,13,7,6,10.7,0.6,1.8,0.9,0.1,0.3,0.2,3.2
Spencer Dinwiddie,DAL,29,67,38,29,29.6,13.7,4.2,5.2,1.6,0.7,0.2,-0.7
Stanley Johnson,LAL,25,48,16,32,22.8,6.7,3.2,1.7,0.7,0.9,0.3,-1.0
Stephen Curry,GSW,34,64,45,19,34.5,25.5,5.2,6.3,3.2,1.3,0.4,8.0
Sterling Brown,DAL,27,49,31,18,12.8,3.3,3.0,0.7,0.5,0.3,0.1,0.7
Steven Adams,MEM,28,76,51,25,26.3,6.9,10.0,3.4,1.5,0.9,0.8,4.6
Svi Mykhailiuk,TOR,24,56,29,27,12.8,4.6,1.6,0.8,0.6,0.5,0.1,-1.4
T.J. McConnell,IND,30,27,9,18,24.2,8.5,3.3,4.9,1.1,1.1,0.4,-2.7
Tacko Fall,CLE,26,11,4,7,5.3,1.1,2.1,0.2,0.3,0.0,0.5,0.5
Taj Gibson,NYK,36,52,24,28,18.2,4.4,4.4,0.6,0.5,0.4,0.8,0.8
Talen Horton-Tucker,LAL,21,60,23,37,25.2,10.0,3.2,2.7,1.4,1.0,0.5,-1.5
Taurean Prince,MIN,28,69,40,29,17.1,7.3,2.5,1.0,0.8,0.7,0.3,-0.1
Terance Mann,LAC,25,81,41,40,28.6,10.8,5.2,2.6,1.0,0.7,0.3,0.8
Terence Davis,SAC,24,30,11,19,17.9,10.4,3.1,1.3,1.1,0.8,0.4,2.0
Terrence Ross,ORL,31,63,14,49,23.0,10.0,2.6,1.8,1.2,0.4,0.2,-5.5
Terry Rozier,CHA,28,73,38,35,33.7,19.3,4.3,4.5,1.3,1.3,0.3,1.0
Terry Taylor,IND,22,33,7,26,21.6,9.6,5.2,1.2,0.7,0.4,0.2,-3.5
Thaddeus Young,TOR,33,52,27,25,16.3,6.2,4.0,2.0,1.0,1.0,0.3,0.4
Thanasis Antetokounmpo,MIL,29,48,26,22,9.9,3.6,2.1,0.5,0.5,0.3,0.3,-2.4
Theo Maledon,OKC,20,51,14,37,17.8,7.1,2.6,2.2,1.3,0.6,0.2,-3.9
Theo Pinson,DAL,26,19,14,5,7.8,2.5,1.1,0.9,0.3,0.3,0.1,-2.2
Thomas Bryant,WAS,24,27,8,19,16.3,7.4,4.0,0.9,0.7,0.2,0.8,-2.8
Tim Frazier,CLE,31,12,1,11,17.3,3.3,1.6,2.8,1.3,0.3,0.1,-6.7
Tim Hardaway Jr.,DAL,30,42,24,18,29.6,14.2,3.7,2.2,0.8,0.9,0.1,0.9
Timothe Luwawu-Cabarrot,ATL,26,52,30,22,13.2,4.4,1.6,0.8,0.4,0.3,0.1,-1.0
Tobias Harris,PHI,29,73,45,28,34.8,17.2,6.8,3.5,1.6,0.6,0.6,2.3
Tomas Satoransky,WAS,30,55,21,34,16.5,3.6,2.3,3.3,0.8,0.5,0.1,-3.0
Tony Bradley,CHI,24,55,28,27,10.0,3.0,3.4,0.5,0.6,0.2,0.6,1.3
Tony Snell,NOP,30,53,19,34,15.5,3.5,1.9,0.5,0.4,0.3,0.2,-2.2
Torrey Craig,PHX,31,78,36,42,20.5,6.6,4.0,1.2,0.9,0.6,0.5,-2.4
Trae Young,ATL,23,76,40,36,34.9,28.4,3.7,9.7,4.0,0.9,0.1,2.1
Trayvon Palmer,DET,27,1,0,1,16.8,0.0,2.0,0.0,1.0,0.0,0.0,-12.0
Tre Jones,SAS,22,69,32,37,16.6,6.0,2.2,3.4,0.7,0.6,0.1,-0.2
Tre Mann,OKC,21,60,17,43,22.8,10.4,2.9,1.5,1.2,0.8,0.2,-4.6
Tremont Waters,WAS,24,3,0,3,16.8,3.3,1.3,2.3,1.3,1.7,0.0,-6.3
Trendon Watford,POR,21,48,16,32,18.1,7.6,4.1,1.7,0.9,0.5,0.6,-7.3
Trent Forrest,UTA,23,60,36,24,12.8,3.3,1.7,1.8,0.8,0.5,0.1,1.3
Trevelin Queen,HOU,25,10,1,9,7.4,4.3,1.6,0.4,0.7,0.5,0.1,0.8
Trevon Scott,CLE,25,2,1,1,5.7,3.0,1.0,0.0,0.0,0.5,0.5,2.0
Trevor Ariza,LAL,36,24,8,16,19.3,4.0,3.4,1.1,0.5,0.5,0.3,-2.3
Trey Burke,DAL,29,42,24,18,10.5,5.1,0.8,1.4,0.6,0.3,0.0,-0.2
Trey Lyles,SAC,26,75,19,56,20.5,10.5,5.1,1.2,1.0,0.4,0.4,-3.0
Trey Murphy III,NOP,21,62,31,31,13.9,5.4,2.4,0.6,0.3,0.4,0.1,0.0
Tristan Thompson,CHI,31,57,20,37,15.7,6.0,5.1,0.6,0.8,0.4,0.4,-1.1
Troy Brown Jr.,CHI,22,66,37,29,16.0,4.3,3.1,1.0,0.4,0.5,0.1,-0.7
Ty Jerome,OKC,24,48,15,33,16.7,7.1,1.6,2.3,0.8,0.6,0.1,-0.1
Tyler Cook,CHI,24,20,13,7,10.0,3.4,2.7,0.2,0.4,0.2,0.2,-1.4
Tyler Hall,NYK,25,1,1,0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
Tyler Herro,MIA,22,66,44,22,32.6,20.7,5.0,4.0,2.6,0.7,0.1,3.6
Tyler Johnson,SAS,29,6,2,4,15.2,2.8,2.0,1.2,0.3,0.5,0.5,-1.0
Tyrell Terry,MEM,21,2,2,0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
Tyrese Haliburton,IND,22,77,26,51,35.0,15.3,4.0,8.2,2.6,1.7,0.6,-4.2
Tyrese Maxey,PHI,21,75,45,30,35.3,17.5,3.2,4.3,1.2,0.7,0.4,2.6
Tyrone Wallace,NOP,27,6,4,2,12.5,2.8,1.3,0.2,0.3,0.5,0.2,-3.0
Tyus Jones,MEM,25,73,51,22,21.2,8.7,2.4,4.4,0.6,0.9,0.0,3.5
Udoka Azubuike,UTA,22,17,11,6,11.5,4.7,4.2,0.0,0.7,0.1,0.6,0.2
Udonis Haslem,MIA,41,13,10,3,6.4,2.5,1.9,0.3,0.4,0.1,0.1,-1.2
Usman Garuba,HOU,20,24,2,22,10.0,2.0,3.5,0.7,0.3,0.4,0.5,1.4
Vernon Carey Jr.,WAS,21,7,3,4,6.3,2.9,1.7,0.0,0.4,0.3,0.1,-6.3
Victor Oladipo,MIA,30,8,4,4,21.6,12.4,2.9,3.5,2.0,0.6,0.1,-0.6
Vit Krejci,OKC,21,30,8,22,23.0,6.2,3.4,1.9,1.0,0.6,0.3,-6.0
Vlatko Cancar,DEN,25,15,7,8,11.8,4.1,2.1,1.1,0.6,0.1,0.2,0.3
Wayne Ellington,LAL,34,43,15,28,18.8,6.7,1.8,0.7,0.4,0.5,0.1,-1.4
Wayne Selden,NYK,27,3,2,1,6.4,1.7,0.3,0.3,0.0,0.0,0.0,-4.3
Wendell Carter Jr.,ORL,23,62,16,46,29.9,15.0,10.5,2.8,1.9,0.6,0.7,-2.2
